Distrito,Año,Escenario,Poblacion ajustada_agua,Pob ajustada_Campo,,,
Cerro Colorado,2045,Alto,297811,,,,
Cerro Colorado,2046,Alto,299511,,,,
Cerro Colorado,2047,Alto,301163,,,,
Cerro Colorado,2048,Alto,302767,,,,
Cerro Colorado,2049,Alto,304325,,,,
Cerro Colorado,2050,Alto,305836,,,,
Characato,2023,Alto,18423,,,,
Characato,2024,Alto,19355,,,,
Characato,2025,Alto,20335,,,,
Characato,2026,Alto,21364,,,,
Characato,2027,Alto,22444,,,,
Characato,2028,Alto,23580,,,,
Characato,2029,Alto,24773,,,,
Characato,2030,Alto,24996,,,,
Characato,2031,Alto,25212,,,,
Characato,2032,Alto,25421,,,,
Characato,2033,Alto,25623,,,,
Characato,2034,Alto,25818,,,,
Characato,2035,Alto,26007,,,,
Characato,2036,Alto,26189,,,,
Characato,2037,Alto,26365,,,,
Characato,2038,Alto,26534,,,,
Characato,2039,Alto,26698,,,,
Characato,2040,Alto,26855,,,,
Characato,2041,Alto,27007,,,,
Characato,2042,Alto,27153,,,,
Characato,2043,Alto,27293,,,,
Characato,2044,Alto,27428,,,,
Characato,2045,Alto,27558,,,,
Characato,2046,Alto,27682,,,,
Characato,2047,Alto,27802,,,,
Characato,2048,Alto,27917,,,,
Characato,2049,Alto,28027,,,,
Characato,2050,Alto,28133,,,,
Jacobo Hunter,2023,Alto,54315,,,,
Jacobo Hunter,2024,Alto,54371,,,,
Jacobo Hunter,2025,Alto,54427,,,,
Jacobo Hunter,2026,Alto,54483,,,,
Jacobo Hunter,2027,Alto,54539,,,,
Jacobo Hunter,2028,Alto,54595,,,,
Jacobo Hunter,2029,Alto,54650,,,,
Jacobo Hunter,2030,Alto,54706,,,,
Jacobo Hunter,2031,Alto,54761,,,,
Jacobo Hunter,2032,Alto,54816,,,,
Jacobo Hunter,2033,Alto,54871,,,,
Jacobo Hunter,2034,Alto,54925,,,,
Jacobo Hunter,2035,Alto,54980,,,,
Jacobo Hunter,2036,Alto,55034,,,,
Jacobo Hunter,2037,Alto,55089,,,,
Jacobo Hunter,2038,Alto,55143,,,,
Jacobo Hunter,2039,Alto,55196,,,,
Jacobo Hunter,2040,Alto,55250,,,,
Jacobo Hunter,2041,Alto,55304,,,,
Jacobo Hunter,2042,Alto,55357,,,,
Jacobo Hunter,2043,Alto,55410,,,,
Jacobo Hunter,2044,Alto,55463,,,,
Jacobo Hunter,2045,Alto,55516,,,,
Jacobo Hunter,2046,Alto,55569,,,,
Jacobo Hunter,2047,Alto,55622,,,,
Jacobo Hunter,2048,Alto,55674,,,,
Jacobo Hunter,2049,Alto,55726,,,,
Jacobo Hunter,2050,Alto,55778,,,,
Mollebaya,2023,Alto,8090,,,,
Mollebaya,2024,Alto,8902,,,,
Mollebaya,2025,Alto,9795,,,,
Mollebaya,2026,Alto,10778,,,,
Mollebaya,2027,Alto,11859,,,,
Mollebaya,2028,Alto,12071,,,,
Mollebaya,2029,Alto,12270,,,,
Mollebaya,2030,Alto,12457,,,,
Mollebaya,2031,Alto,12631,,,,
Mollebaya,2032,Alto,12794,,,,
Mollebaya,2033,Alto,12946,,,,
Mollebaya,2034,Alto,13088,,,,
Mollebaya,2035,Alto,13219,,,,
Mollebaya,2036,Alto,13340,,,,
Mollebaya,2037,Alto,13452,,,,
Mollebaya,2038,Alto,13556,,,,
Mollebaya,2039,Alto,13651,,,,
Mollebaya,2040,Alto,13739,,,,
Mollebaya,2041,Alto,13820,,,,
Mollebaya,2042,Alto,13895,,,,
Mollebaya,2043,Alto,13963,,,,
Mollebaya,2044,Alto,14026,,,,
Mollebaya,2045,Alto,14083,,,,
Mollebaya,2046,Alto,14136,,,,
Mollebaya,2047,Alto,14184,,,,
Mollebaya,2048,Alto,14228,,,,
Mollebaya,2049,Alto,14269,,,,
Mollebaya,2050,Alto,14306,,,,
Paucarpata,2023,Alto,138046,,,,
Paucarpata,2024,Alto,138279,,,,
Paucarpata,2025,Alto,138511,,,,
Paucarpata,2026,Alto,138742,,,,
Paucarpata,2027,Alto,138972,,,,
Paucarpata,2028,Alto,139201,,,,
Paucarpata,2029,Alto,139429,,,,
Paucarpata,2030,Alto,139657,,,,
Paucarpata,2031,Alto,139884,,,,
Paucarpata,2032,Alto,140110,,,,
Paucarpata,2033,Alto,140335,,,,
Paucarpata,2034,Alto,140559,,,,
Paucarpata,2035,Alto,140783,,,,
Paucarpata,2036,Alto,141005,,,,
Paucarpata,2037,Alto,141227,,,,
Paucarpata,2038,Alto,141448,,,,
Paucarpata,2039,Alto,141668,,,,
Paucarpata,2040,Alto,141887,,,,
Paucarpata,2041,Alto,142105,,,,
Paucarpata,2042,Alto,142323,,,,
Paucarpata,2043,Alto,142539,,,,
Paucarpata,2044,Alto,142755,,,,
Paucarpata,2045,Alto,142970,,,,
Paucarpata,2046,Alto,143184,,,,
Paucarpata,2047,Alto,143397,,,,
Paucarpata,2048,Alto,143610,,,,
Paucarpata,2049,Alto,143821,,,,
Paucarpata,2050,Alto,144032,,,,
Sachaca,2023,Alto,30126,,,,
Sachaca,2024,Alto,30818,,,,
Sachaca,2025,Alto,31527,,,,
Sachaca,2026,Alto,32252,,,,
Sachaca,2027,Alto,32993,,,,
Sachaca,2028,Alto,33751,,,,
Sachaca,2029,Alto,34527,,,,
Sachaca,2030,Alto,34682,,,,
Sachaca,2031,Alto,34834,,,,
Sachaca,2032,Alto,34985,,,,
Sachaca,2033,Alto,35133,,,,
Sachaca,2034,Alto,35279,,,,
Sachaca,2035,Alto,35424,,,,
Sachaca,2036,Alto,35566,,,,
Sachaca,2037,Alto,35706,,,,
Sachaca,2038,Alto,35843,,,,
Sachaca,2039,Alto,35979,,,,
Sachaca,2040,Alto,36113,,,,
Sachaca,2041,Alto,36245,,,,
Sachaca,2042,Alto,36374,,,,
Sachaca,2043,Alto,36502,,,,
Sachaca,2044,Alto,36628,,,,
Sachaca,2045,Alto,36751,,,,
Sachaca,2046,Alto,36873,,,,
Sachaca,2047,Alto,36993,,,,
Sachaca,2048,Alto,37111,,,,
Sachaca,2049,Alto,37227,,,,
Sachaca,2050,Alto,37341,,,,
Socabaya,2023,Alto,87750,,,,
Socabaya,2024,Alto,88258,,,,
Socabaya,2025,Alto,88761,,,,
Socabaya,2026,Alto,89259,,,,
Socabaya,2027,Alto,89752,,,,
Socabaya,2028,Alto,90239,,,,
Socabaya,2029,Alto,90722,,,,
Socabaya,2030,Alto,91199,,,,
Socabaya,2031,Alto,91672,,,,
Socabaya,2032,Alto,92139,,,,
Socabaya,2033,Alto,92600,,,,
Socabaya,2034,Alto,93057,,,,
Socabaya,2035,Alto,93508,,,,
Socabaya,2036,Alto,93954,,,,
Socabaya,2037,Alto,94395,,,,
Socabaya,2038,Alto,94831,,,,
Socabaya,2039,Alto,95261,,,,
Socabaya,2040,Alto,95686,,,,
Socabaya,2041,Alto,96106,,,,
Socabaya,2042,Alto,96520,,,,
Socabaya,2043,Alto,96929,,,,
Socabaya,2044,Alto,97333,,,,
Socabaya,2045,Alto,97732,,,,
Socabaya,2046,Alto,98125,,,,
Socabaya,2047,Alto,98513,,,,
Socabaya,2048,Alto,98896,,,,
Socabaya,2049,Alto,99274,,,,
Socabaya,2050,Alto,99647,,,,
Tiabaya,2023,Alto,17709,,,,
Tiabaya,2024,Alto,17796,,,,
Tiabaya,2025,Alto,17883,,,,
Tiabaya,2026,Alto,17970,,,,
Tiabaya,2027,Alto,18058,,,,
Tiabaya,2028,Alto,18147,,,,
Tiabaya,2029,Alto,18235,,,,
Tiabaya,2030,Alto,18325,,,,
Tiabaya,2031,Alto,18414,,,,
Tiabaya,2032,Alto,18505,,,,
Tiabaya,2033,Alto,18595,,,,
Tiabaya,2034,Alto,18686,,,,
Tiabaya,2035,Alto,18778,,,,
Tiabaya,2036,Alto,18870,,,,
Tiabaya,2037,Alto,18962,,,,
Tiabaya,2038,Alto,19055,,,,
Tiabaya,2039,Alto,19148,,,,
Tiabaya,2040,Alto,19242,,,,
Tiabaya,2041,Alto,19336,,,,
Tiabaya,2042,Alto,19431,,,,
Tiabaya,2043,Alto,19526,,,,
Tiabaya,2044,Alto,19621,,,,
Tiabaya,2045,Alto,19717,,,,
Tiabaya,2046,Alto,19814,,,,
Tiabaya,2047,Alto,19911,,,,
Tiabaya,2048,Alto,20008,,,,
Tiabaya,2049,Alto,20106,,,,
Tiabaya,2050,Alto,20205,,,,
Uchumayo,2023,Alto,17981,,,,
Uchumayo,2024,Alto,18258,,,,
Uchumayo,2025,Alto,18539,,,,
